Model,Train_R2,Val_R2,Test_R2,Train_RMSE,Val_RMSE,Test_RMSE,Train_MAE,Val_MAE,Test_MAE,CV_Mean,CV_Std
Ridge,0.36430621104295446,0.3750275697373472,0.3858612617082484,0.6452868982193845,0.6293034578054011,0.6294691296653988,0.5014392279519397,0.4919247434228705,0.4846464221665558,0.30470791437213773,0.0845157207136135
LinearRegression,0.3643083349374625,0.37476390731028353,0.38554492319006073,0.6452858202456274,0.6294361886050281,0.6296312263415234,0.50134957949554,0.49205145019103763,0.48478049773293874,0.3042683439731941,0.08478292060032747
ElasticNet,0.33215266279524847,0.35858551576005304,0.3655466497274382,0.6614049831356097,0.6375277154009675,0.6397952886262979,0.5266842512276654,0.5068091327561378,0.4947992646534415,0.30799482507308,0.05140288868800777
Lasso,0.30272906732013627,0.3209422191238922,0.333099623708763,0.6758178273168712,0.6559686033749927,0.6559514121740677,0.5461954067420758,0.526452458029196,0.5171242000282494,0.2840509325297047,0.04875830763102214
