Model,N_Features,Train_R2,Val_R2,Test_R2,Train_RMSE,Val_RMSE,Test_RMSE,CV_Score
ElasticNet,7,0.3655594026399781,0.29258604026647517,0.39328237376419606,0.6021053033393724,0.6287810857213804,0.5823122984358697,0.33235877952384385
ElasticNet,9,0.3655594031286238,0.2925860392935473,0.39328237497181073,0.6021053031075019,0.6287810861537713,0.5823122978563506,0.33062308853977773
ElasticNet,8,0.3655594034167362,0.2925860387198953,0.3932823756838375,0.6021053029707878,0.628781086408715,0.582312297514658,0.332261052064604
ElasticNet,10,0.36555941686510707,0.2925860119431476,0.39328240891951494,0.6021052965893113,0.6287810983088988,0.5823122815652747,0.3306230948865577
ElasticNet,11,0.36555941686510707,0.2925860119431476,0.39328240891951494,0.6021052965893113,0.6287810983088988,0.5823122815652747,0.33062309488859914
ElasticNet,12,0.36555941686510707,0.2925860119431476,0.39328240891951494,0.6021052965893113,0.6287810983088988,0.5823122815652747,0.33062309490112296
ElasticNet,14,0.36555941748120113,0.2925860107164523,0.3932824104421031,0.6021052962969644,0.6287810988540695,0.5823122808346037,0.3306230946232279
ElasticNet,13,0.36555941755562693,0.2925860105682644,0.39328241062603553,0.6021052962616481,0.6287810989199275,0.5823122807463369,0.330623094554506
ElasticNet,15,0.36555942693162413,0.2925859918998197,0.39328243379748395,0.6021052918125809,0.6287811072166005,0.5823122696266502,0.33056288869426065
ElasticNet,6,0.36463562944118866,0.2917881519440918,0.39080666929130825,0.6025434896925176,0.6291355851577479,0.5834991483397038,0.33300906271582686
ElasticNet,3,0.3577758839194547,0.2894632828834517,0.37983173314825724,0.6057874538510334,0.630167380551322,0.5887317077250916,0.32814462962521346
ElasticNet,4,0.3586182576109156,0.28942828377691787,0.38154873600922823,0.605390032729315,0.6301829005259872,0.5879161591752423,0.3289012495008879
ElasticNet,5,0.362382795523845,0.2843018321139864,0.38649698612222394,0.6036107743321454,0.6324520566140716,0.5855594668761331,0.3330106854684053
ElasticNet,2,0.31855879245205765,0.23437254389982665,0.34170871593834273,0.6240094489611577,0.6541410534968107,0.6065571254424245,0.29031348188435285
ElasticNet,1,0.24104112165316882,0.17296974936516374,0.278694884638489,0.6585459643279252,0.6798660490275161,0.6349246123639752,0.20871369812659854
Lasso,3,0.3355633086637333,0.2776244793326983,0.3617324739270137,0.6161745736702027,0.6353955467213672,0.5972608264113765,0.305196130193017
Lasso,10,0.338045107605918,0.2746944941050127,0.36451926224456,0.6150227317548534,0.6366828381289821,0.5959555271351841,0.30732417976624704
Lasso,11,0.338045107605918,0.2746944941050127,0.36451926224456,0.6150227317548534,0.6366828381289821,0.5959555271351841,0.30732417976624704
Lasso,12,0.338045107605918,0.2746944941050127,0.36451926224456,0.6150227317548534,0.6366828381289821,0.5959555271351841,0.30732417976624704
Lasso,13,0.338045107605918,0.2746944941050127,0.36451926224456,0.6150227317548534,0.6366828381289821,0.5959555271351841,0.30732417976624704
Lasso,14,0.338045107605918,0.2746944941050127,0.36451926224456,0.6150227317548534,0.6366828381289821,0.5959555271351841,0.30732417976624704
Lasso,9,0.33804413027501434,0.27469196346614644,0.36451847953493066,0.6150231857740829,0.6366839488422728,0.5959558941486578,0.3073444912664825
Lasso,4,0.3380440581773835,0.27469177679141865,0.3645184217876771,0.6150232192670356,0.6366840307749063,0.5959559212264045,0.307344408635558
Lasso,5,0.3380440581773835,0.27469177679141865,0.3645184217876771,0.6150232192670356,0.6366840307749063,0.5959559212264045,0.307344408635558
Lasso,6,0.3380440581773835,0.27469177679141865,0.3645184217876771,0.6150232192670356,0.6366840307749063,0.5959559212264045,0.307344408635558
Lasso,7,0.3380440581773835,0.27469177679141865,0.3645184217876771,0.6150232192670356,0.6366840307749063,0.5959559212264045,0.307344408635558
Lasso,8,0.3380440581773835,0.27469177679141865,0.3645184217876771,0.6150232192670356,0.6366840307749063,0.5959559212264045,0.307344408635558
Lasso,15,0.3380439850183288,0.2746915873699082,0.36451836318930797,0.615023253253071,0.6366841139131082,0.595955948703239,0.3073241993667618
Lasso,2,0.30077275003471826,0.23040438320927303,0.3250744848175867,0.6321005123497451,0.6558340323267767,0.6141728013265286,0.27191841119530596
Lasso,1,0.2310638829150512,0.17075948013579656,0.26498682086092373,0.6628604387330643,0.6807739265505514,0.6409294384311238,0.19887099013753232
LinearRegression,13,0.38711337558665593,0.3214502604527112,0.3930926024839736,0.5917892087129176,0.6158195903497176,0.5824033601636082,0.33120393874302856
LinearRegression,15,0.38738819873392205,0.3203213135852473,0.3926545097555416,0.5916565123850543,0.6163316667853355,0.5826135245566478,0.32734386994113895
LinearRegression,10,0.38662250931144904,0.3188112542992747,0.39860431513240535,0.5920261458660793,0.6170159467328034,0.5797527405078993,0.3379518629915895
LinearRegression,12,0.3867499917349845,0.3187673764842198,0.39631185053764684,0.5919646202550665,0.6170358185200351,0.5808566713367493,0.3373960651797404
LinearRegression,11,0.3867499917349845,0.31876737648421827,0.39631185053764695,0.5919646202550665,0.6170358185200358,0.5808566713367493,0.33721760076331736
LinearRegression,14,0.3871867083007512,0.3186279020504792,0.394230137801557,0.5917538034639378,0.617098980730625,0.5818573006488963,0.3307107451842713
LinearRegression,8,0.3830237129745151,0.30792336877575,0.3991916117829265,0.5937603679114538,0.6219274833005296,0.5794695908129953,0.3409674290994334
LinearRegression,9,0.384198626393634,0.30614509967099746,0.39991253680733296,0.5931947469347194,0.6227259822394956,0.579121826425258,0.33791531973054123
