Model,Feature_Count,Selected_Accuracy,Baseline_Accuracy,Accuracy_Improvement,Selected_R2,Baseline_R2,R2_Improvement
Lasso,8,0.6407766990291263,0.6407766990291263,0.0,0.36451665469106587,0.36451836318930797,-1.7084982421033956e-06
LinearRegression,8,0.6019417475728155,0.6019417475728155,0.0,0.4037836138191926,0.3926545097555416,0.011129104063650974
ElasticNet,8,0.5970873786407767,0.6019417475728155,-0.004854368932038833,0.3912165932010194,0.39328243379748395,-0.00206584059646453
Ridge,8,0.5922330097087378,0.6019417475728155,-0.009708737864077666,0.4041888604587056,0.3932937473412782,0.010895113117427413
