Feature,Importance
alcohol,1.3850159293431028
alcohol_density_ratio,1.2648816323025256
sulphates,0.1436022564657359
volatile acidity,0.1217530550876667
sulfur_ratio,0.0428757285830587
citric acid,0.0357073280702823
acidity_ratio,0.0333085253061816
density,0.0318877302486838
