Model,Test_R²,Test_RMSE,Test_MAE,CV_R2_Mean,CV_R2_Std
LinearRegression,0.3926545097555416,0.5826135245566478,0.45464334540429197,0.32734386994113895,0.06446916806067018
Ridge,0.3932937473412782,0.5823068403738615,0.454652146332001,0.32940772358060555,0.06201323116245352
Lasso,0.36451836318930797,0.595955948703239,0.4856950026755731,0.3073241993667618,0.04200343542159616
ElasticNet,0.39328243379748395,0.5823122696266502,0.4653453190386991,0.33056288869426065,0.04693021008130436
